id,good,defect
241227-09.4.5.2-B001_20250122172012_2_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122171820_2_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122171808_4_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122171808_0_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122171607_0_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122171305_0_R_1.jpg,1,0
241227-09.4.5.2-B001_20250122171131_2_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122171052_0_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122170918_0_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122170539_4_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122170500_2_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122170150_2_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122170136_0_R_1.jpg,1,0
241227-09.4.5.2-B001_20250122165646_0_L_1.jpg,1,0
241227-09.4.5.2-B001_20250122165609_2_R_1.jpg,1,0
250110-10.7.6-B001_20250122164333_4_R_1.jpg,1,0
250110-10.7.6-B001_20250122164313_0_R_1.jpg,1,0
250110-10.7.6-B001_20250122164249_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122164237_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122164038_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122164004_1_L_1.jpg,1,0
250110-10.7.6-B001_20250122164004_0_R_1.jpg,1,0
250110-10.7.6-B001_20250122163952_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122163918_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122163836_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122163507_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122163507_2_L_1.jpg,1,0
250110-10.7.6-B001_20250122163456_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122163444_0_R_1.jpg,1,0
250110-10.7.6-B001_20250122163333_2_R_1.jpg,1,0
250110-10.7.6-B001_20250122163308_0_L_1.jpg,1,0
250110-10.7.6-B001_20250122163127_1_L_1.jpg,1,0
250110-10.7.6-B001_20250122162858_3_L_1.jpg,1,0
