id,good,defect,no_lens
20230404101548_2_L_1.jpg,1,0,0
20230404165844_2_L_1.jpg,1,0,0
20230405180455_4_L_1.jpg,1,0,0
20230405193455_4_L_1.jpg,1,0,0
20230424173430_1_R_1.jpg,1,0,0
20230503143604_0_L_1.jpg,1,0,0
20221013.01_20221014105820_0_L_1.jpg,1,0,0
20221013.01_20221014110306_3_L_1.jpg,1,0,0
20221013.01_20221014110327_1_L_1.jpg,1,0,0
20221013.01_20221014110422_1_R_1.jpg,1,0,0
20221013.01_20221014110439_4_L_1.jpg,1,0,0
20221013.01_20221014110455_1_L_1.jpg,1,0,0
20221013.01_20221014110638_3_L_1.jpg,1,0,0
20221013.01_20221014110857_2_L_1.jpg,1,0,0
20221013.01_20221014111224_0_R_1.jpg,1,0,0
20221013.01_20221014111409_2_L_1.jpg,1,0,0
20221013.01_20221014111531_2_L_1.jpg,1,0,0
20221013.01_20221014114335_0_L_1.jpg,1,0,0
20221013.01_20221014114449_0_R_1.jpg,1,0,0
20221013.01_20221014115003_3_L_1.jpg,1,0,0
20230403112632_1_R_1.jpg,1,0,0
20230404133011_4_R_1.jpg,1,0,0
20230404134552_2_L_1.jpg,1,0,0
20230405134652_1_R_1.jpg,1,0,0
20230412091926_4_R_1.jpg,1,0,0
20230412121848_0_L_1.jpg,1,0,0
20230417103336_0_R_1.jpg,1,0,0
20230417104909_0_R_1.jpg,1,0,0
20230418105241_2_L_1.jpg,1,0,0
20230418114408_0_R_1.jpg,1,0,0
20230418134309_2_R_1.jpg,1,0,0
20230418150656_2_R_1.jpg,1,0,0
20230418152430_4_L_1.jpg,1,0,0
20230418165432_2_L_1.jpg,1,0,0
20230418172315_2_L_1.jpg,1,0,0
20230419112422_2_L_1.jpg,1,0,0
20230419154111_2_L_1.jpg,1,0,0
20230419160349_2_L_1.jpg,1,0,0
20230421104134_1_R_1.jpg,1,0,0
20230424145743_1_R_1.jpg,1,0,0
20230424171435_0_R_1.jpg,1,0,0
20230424193211_3_R_1.jpg,1,0,0
20230425101329_1_R_1.jpg,1,0,0
20230425101346_2_R_1.jpg,1,0,0
20230503141329_2_R_1.jpg,1,0,0
20230504094636_2_L_1.jpg,1,0,0
20230504143119_3_L_1.jpg,1,0,0
20230504155253_4_R_1.jpg,1,0,0
20230504155932_1_R_1.jpg,1,0,0
20230508100925_2_L_1.jpg,1,0,0
20230512090140_4_L_1.jpg,1,0,0
20230530104756_4_L_1.jpg,1,0,0
20230530113153_0_L_1.jpg,1,0,0
20230530143643_1_L_1.jpg,1,0,0
20230530145931_3_L_1.jpg,1,0,0
20230530153105_2_R_1.jpg,1,0,0
221208-06.10.13-B001_20230215132444_1_R_1_hflip.jpg,1,0,0
230225-06.2.5-A001_20230228120335_2_L_1_hflip.jpg,1,0,0
230225-06.2.5-A001_20230228120335_2_L_1_vflip.jpg,1,0,0
230225-06.2.5-A001_20230228120335_2_L_1_vhflip.jpg,1,0,0
None_20220913155444_2_L_1_hflip.jpg,1,0,0
None_20220913155444_2_L_1_vhflip.jpg,1,0,0
None_20220913172824_3_L_1.jpg,1,0,0
None_20220913180722_0_L_1.jpg,1,0,0
None_20220913181258_3_L_1.jpg,1,0,0
None_20220913195634_3_R_1.jpg,1,0,0
None_20220913202359_1_L_1_vhflip.jpg,1,0,0
None_20220914162451_3_R_1.jpg,1,0,0
None_20220914190517_4_L_1_vflip.jpg,1,0,0
None_20220914190517_4_L_1_vhflip.jpg,1,0,0
None_20220914191501_0_L_1.jpg,1,0,0
None_20220914193350_1_L_1_vflip.jpg,1,0,0
None_20220915132934_3_L_1.jpg,1,0,0
None_20220915154529_3_L_1.jpg,1,0,0
None_20220915155007_2_R_1.jpg,1,0,0
None_20220923095956_2_L_1.jpg,1,0,0
None_20220923101522_3_R_1.jpg,1,0,0
None_20220923104539_2_R_1.jpg,1,0,0
None_20220923111814_1_L_1.jpg,1,0,0
None_20220923123551_3_L_1.jpg,1,0,0
None_20220923140024_0_R_1.jpg,1,0,0
None_20220923142158_4_L_1.jpg,1,0,0
None_20221012135722_4_L_1.jpg,1,0,0
None_20221012143005_3_L_1.jpg,1,0,0
None_20221012143131_1_L_1.jpg,1,0,0
None_20221012143352_3_L_1.jpg,1,0,0
None_20221012143409_2_L_1.jpg,1,0,0
None_20221012143444_1_L_1.jpg,1,0,0
None_20221012144346_0_R_1_hflip.jpg,1,0,0
None_20221012145259_4_R_1.jpg,1,0,0
None_20221012145334_4_L_1.jpg,1,0,0
None_20221013144412_0_L_1.jpg,1,0,0
None_20221013144412_0_R_1.jpg,1,0,0
None_20221013144504_2_L_1.jpg,1,0,0
None_20221013144504_4_L_1.jpg,1,0,0
None_20221026160826_4_L_1.jpg,1,0,0
None_20221026160954_0_L_1.jpg,1,0,0
None_20221026161013_3_L_1.jpg,1,0,0
None_20221026161344_4_L_1_hflip.jpg,1,0,0
None_20221026161344_4_L_1_vflip.jpg,1,0,0
None_20221026161344_4_L_1_vhflip.jpg,1,0,0
None_20221026161827_3_L_1.jpg,1,0,0
None_20221026161956_4_L_1.jpg,1,0,0
None_20221026162049_4_L_1.jpg,1,0,0
None_20221026164758_4_L_1.jpg,1,0,0
None_20221026170327_0_R_1_hflip.jpg,1,0,0
None_20221026170327_0_R_1_vhflip.jpg,1,0,0
None_20221026170344_2_R_1.jpg,1,0,0
None_20221026172804_1_L_1.jpg,1,0,0
None_20221026172823_4_L_1_vflip.jpg,1,0,0
None_20221026172859_4_R_1_vhflip.jpg,1,0,0
None_20221026172916_1_L_1_vhflip.jpg,1,0,0
None_20221026172916_4_L_1_vhflip.jpg,1,0,0
None_20221026173150_2_L_1.jpg,1,0,0
None_20221026173150_3_L_1.jpg,1,0,0
None_20221026173150_4_L_1.jpg,1,0,0
None_20221026173226_3_L_1_vhflip.jpg,1,0,0
None_20221026173415_3_L_1_hflip.jpg,1,0,0
None_20221026173415_3_L_1_vflip.jpg,1,0,0
None_20221026173415_3_L_1_vhflip.jpg,1,0,0
None_20221027133253_3_L_1.jpg,1,0,0
None_20221027133253_3_R_1.jpg,1,0,0
None_20221027133841_1_L_1.jpg,1,0,0
None_20221027133916_4_L_1_vhflip.jpg,1,0,0
None_20221027141457_0_L_1_vflip.jpg,1,0,0
None_20221027144704_4_R_1_vflip.jpg,1,0,0
None_20221027144704_4_R_1_vhflip.jpg,1,0,0
None_20221027145954_2_L_1.jpg,1,0,0
None_20221027161155_0_L_1_hflip.jpg,1,0,0
None_20221027161155_0_L_1_vflip.jpg,1,0,0
None_20221027161213_4_L_1_vhflip.jpg,1,0,0
None_20221027161230_1_L_1_vhflip.jpg,1,0,0
None_20221027161248_0_L_1_vhflip.jpg,1,0,0
None_20221027181254_4_R_1.jpg,1,0,0
None_20221201093352_3_R_1_hflip.jpg,1,0,0
None_20221201093352_3_R_1_vflip.jpg,1,0,0
None_20221201093352_3_R_1_vhflip.jpg,1,0,0
None_20221201094836_0_L_1.jpg,1,0,0
None_20221201100455_0_L_1.jpg,1,0,0
None_20221201104543_2_L_1.jpg,1,0,0
None_20221201141442_3_L_1.jpg,1,0,0
None_20221201145749_2_L_1.jpg,1,0,0
None_20221205113805_3_L_1.jpg,1,0,0
None_20221205113935_1_R_1_hflip.jpg,1,0,0
None_20221205113935_1_R_1_vflip.jpg,1,0,0
None_20221205113935_1_R_1_vhflip.jpg,1,0,0
None_20221205163122_4_L_1.jpg,1,0,0
None_20230127112927_0_L_1_hflip.jpg,1,0,0
None_20230127112927_0_L_1_vflip.jpg,1,0,0
None_20230127112927_0_L_1_vhflip.jpg,1,0,0
None_20230127113354_0_L_1_vflip.jpg,1,0,0
None_20230127113354_0_L_1_vhflip.jpg,1,0,0
None_20230127113513_3_L_1_hflip.jpg,1,0,0
None_20230127113513_3_L_1_vhflip.jpg,1,0,0
None_20230127161626_4_R_1_vhflip.jpg,1,0,0
None_20230127162738_0_L_1.jpg,1,0,0
None_20230127162738_0_L_1_hflip.jpg,1,0,0
None_20230127162914_1_L_1_vflip.jpg,1,0,0
None_20230127163206_0_L_1_hflip.jpg,1,0,0
None_20230130093330_0_L_1_vflip.jpg,1,0,0
None_20230130093330_0_L_1_vhflip.jpg,1,0,0
None_20230130093756_0_L_1_vflip.jpg,1,0,0
None_20230130094649_0_L_1_vflip.jpg,1,0,0
None_20230130095116_0_L_1_hflip.jpg,1,0,0
None_20230130095116_0_L_1_vhflip.jpg,1,0,0
None_20230201105000_4_L_1_vhflip.jpg,1,0,0
None_20230201111121_2_L_1_vhflip.jpg,1,0,0
