,id,good,b_edge,burr,borken,b_bubble,etc,no_lens
0,01-2.jpg,0,0,0,0,1,0,0
1,lr01-2.jpg,0,0,0,0,1,0,0
2,ud01-2.jpg,0,0,0,0,1,0,0
3,lrud01-2.jpg,0,0,0,0,1,0,0
4,02-2.jpg,0,0,0,0,1,0,0
5,lr02-2.jpg,0,0,0,0,1,0,0
6,ud02-2.jpg,0,0,0,0,1,0,0
7,lrud02-2.jpg,0,0,0,0,1,0,0
8,03-2.jpg,0,0,0,0,1,0,0
9,lr03-2.jpg,0,0,0,0,1,0,0
10,ud03-2.jpg,0,0,0,0,1,0,0
11,lrud03-2.jpg,0,0,0,0,1,0,0
12,04-2.jpg,0,0,0,0,1,0,0
13,lr04-2.jpg,0,0,0,0,1,0,0
14,ud04-2.jpg,0,0,0,0,1,0,0
15,lrud04-2.jpg,0,0,0,0,1,0,0
16,05-2.jpg,0,0,0,0,1,0,0
17,lr05-2.jpg,0,0,0,0,1,0,0
18,ud05-2.jpg,0,0,0,0,1,0,0
19,lrud05-2.jpg,0,0,0,0,1,0,0
20,20221013.01_20221014110327_2_L_1.jpg,0,0,1,0,0,0,0
21,lr20221013.01_20221014110327_2_L_1.jpg,0,0,1,0,0,0,0
22,ud20221013.01_20221014110327_2_L_1.jpg,0,0,1,0,0,0,0
23,lrud20221013.01_20221014110327_2_L_1.jpg,0,0,1,0,0,0,0
24,20221013.01_20221014110605_3_L_1.jpg,0,1,1,0,0,0,0
25,lr20221013.01_20221014110605_3_L_1.jpg,0,1,1,0,0,0,0
26,ud20221013.01_20221014110605_3_L_1.jpg,0,1,1,0,0,0,0
27,lrud20221013.01_20221014110605_3_L_1.jpg,0,1,1,0,0,0,0
28,20221013.01_20221014110605_4_L_1.jpg,0,1,0,0,0,0,0
29,lr20221013.01_20221014110605_4_L_1.jpg,0,1,0,0,0,0,0
30,ud20221013.01_20221014110605_4_L_1.jpg,0,1,0,0,0,0,0
31,lrud20221013.01_20221014110605_4_L_1.jpg,0,1,0,0,0,0,0
32,20221013.01_20221014110622_4_L_1.jpg,0,0,0,0,0,1,0
33,20221013.01_20221014110714_2_L_1.jpg,0,0,0,1,0,0,0
34,lr20221013.01_20221014110714_2_L_1.jpg,0,0,0,1,0,0,0
35,ud20221013.01_20221014110714_2_L_1.jpg,0,0,0,1,0,0,0
36,lrud20221013.01_20221014110714_2_L_1.jpg,0,0,0,1,0,0,0
37,20221013.01_20221014110804_1_R_1.jpg,0,0,1,0,0,0,0
38,lr20221013.01_20221014110804_1_R_1.jpg,0,0,1,0,0,0,0
39,ud20221013.01_20221014110804_1_R_1.jpg,0,0,1,0,0,0,0
40,lrud20221013.01_20221014110804_1_R_1.jpg,0,0,1,0,0,0,0
41,20221013.01_20221014110804_2_L_1.jpg,0,0,0,0,0,1,0
42,20221013.01_20221014110840_1_R_1.jpg,0,0,1,0,0,0,0
43,lr20221013.01_20221014110840_1_R_1.jpg,0,0,1,0,0,0,0
44,ud20221013.01_20221014110840_1_R_1.jpg,0,0,1,0,0,0,0
45,lrud20221013.01_20221014110840_1_R_1.jpg,0,0,1,0,0,0,0
46,20221013.01_20221014110840_2_L_1.jpg,0,0,0,1,0,0,0
47,lr20221013.01_20221014110840_2_L_1.jpg,0,0,0,1,0,0,0
48,ud20221013.01_20221014110840_2_L_1.jpg,0,0,0,1,0,0,0
49,lrud20221013.01_20221014110840_2_L_1.jpg,0,0,0,1,0,0,0
50,20221013.01_20221014110857_2_R_1.jpg,0,0,1,0,0,0,0
51,lr20221013.01_20221014110857_2_R_1.jpg,0,0,1,0,0,0,0
52,ud20221013.01_20221014110857_2_R_1.jpg,0,0,1,0,0,0,0
53,lrud20221013.01_20221014110857_2_R_1.jpg,0,0,1,0,0,0,0
54,20221013.01_20221014111058_3_L_1.jpg,0,0,1,0,0,0,0
55,lr20221013.01_20221014111058_3_L_1.jpg,0,0,1,0,0,0,0
56,ud20221013.01_20221014111058_3_L_1.jpg,0,0,1,0,0,0,0
57,lrud20221013.01_20221014111058_3_L_1.jpg,0,0,1,0,0,0,0
58,20221013.01_20221014111113_2_R_1.jpg,0,0,1,0,0,0,0
59,lr20221013.01_20221014111113_2_R_1.jpg,0,0,1,0,0,0,0
60,ud20221013.01_20221014111113_2_R_1.jpg,0,0,1,0,0,0,0
61,lrud20221013.01_20221014111113_2_R_1.jpg,0,0,1,0,0,0,0
62,20221013.01_20221014111147_0_L_1.jpg,0,1,0,0,0,0,0
63,lr20221013.01_20221014111147_0_L_1.jpg,0,1,0,0,0,0,0
64,ud20221013.01_20221014111147_0_L_1.jpg,0,1,0,0,0,0,0
65,lrud20221013.01_20221014111147_0_L_1.jpg,0,1,0,0,0,0,0
66,20221013.01_20221014111243_0_L_1.jpg,0,1,0,0,0,0,0
67,lr20221013.01_20221014111243_0_L_1.jpg,0,1,0,0,0,0,0
68,ud20221013.01_20221014111243_0_L_1.jpg,0,1,0,0,0,0,0
69,lrud20221013.01_20221014111243_0_L_1.jpg,0,1,0,0,0,0,0
70,20221013.01_20221014111350_0_R_1.jpg,0,0,1,0,0,0,0
71,lr20221013.01_20221014111350_0_R_1.jpg,0,0,1,0,0,0,0
72,ud20221013.01_20221014111350_0_R_1.jpg,0,0,1,0,0,0,0
73,lrud20221013.01_20221014111350_0_R_1.jpg,0,0,1,0,0,0,0
74,20221013.01_20221014111409_4_L_1.jpg,0,0,1,0,0,0,0
75,lr20221013.01_20221014111409_4_L_1.jpg,0,0,1,0,0,0,0
76,ud20221013.01_20221014111409_4_L_1.jpg,0,0,1,0,0,0,0
77,lrud20221013.01_20221014111409_4_L_1.jpg,0,0,1,0,0,0,0
78,20221013.01_20221014111531_0_L_1.jpg,0,1,0,0,0,0,0
79,lr20221013.01_20221014111531_0_L_1.jpg,0,1,0,0,0,0,0
80,ud20221013.01_20221014111531_0_L_1.jpg,0,1,0,0,0,0,0
81,lrud20221013.01_20221014111531_0_L_1.jpg,0,1,0,0,0,0,0
82,20221013.01_20221014114449_2_L_1.jpg,0,0,0,1,0,0,0
83,lr20221013.01_20221014114449_2_L_1.jpg,0,0,0,1,0,0,0
84,ud20221013.01_20221014114449_2_L_1.jpg,0,0,0,1,0,0,0
85,lrud20221013.01_20221014114449_2_L_1.jpg,0,0,0,1,0,0,0
86,20221013.01_20221014114559_2_R_1.jpg,0,0,1,0,0,0,0
87,lr20221013.01_20221014114559_2_R_1.jpg,0,0,1,0,0,0,0
88,ud20221013.01_20221014114559_2_R_1.jpg,0,0,1,0,0,0,0
89,lrud20221013.01_20221014114559_2_R_1.jpg,0,0,1,0,0,0,0
