id,good,b_edge,burr,borken,b_bubble,etc,no_lens
None_20230404100000_3_R_1.jpg,1,0,0,0,0,0,0
None_20230413143026_2_R_1.jpg,1,0,0,0,0,0,0
None_20230411140231_2_R_1.jpg,1,0,0,0,0,0,0
None_20230420134343_3_R_1.jpg,1,0,0,0,0,0,0
None_20230420141659_1_L_1.jpg,1,0,0,0,0,0,0
None_20230424141827_4_L_1.jpg,1,0,0,0,0,0,0
None_20230410124502_0_L_1.jpg,1,0,0,0,0,0,0
None_20230428151247_4_L_1.jpg,1,0,0,0,0,0,0
None_20230420151432_0_R_1.jpg,1,0,0,0,0,0,0
None_20230421110534_3_L_1.jpg,1,0,0,0,0,0,0
None_20230404111813_2_R_1.jpg,1,0,0,0,0,0,0
None_20230405114630_4_L_1.jpg,1,0,0,0,0,0,0
None_20230424152603_1_R_1.jpg,1,0,0,0,0,0,0
None_20230418120426_2_L_1.jpg,1,0,0,0,0,0,0
None_20230403160228_4_R_1.jpg,1,0,0,0,0,0,0
None_20230421112604_0_R_1.jpg,1,0,0,0,0,0,0
None_20230425150757_3_R_1.jpg,1,0,0,0,0,0,0
None_20230410143055_0_R_1.jpg,1,0,0,0,0,0,0
None_20230410145145_0_R_1.jpg,1,0,0,0,0,0,0
None_20230425164348_2_L_1.jpg,1,0,0,0,0,0,0
None_20230420104613_4_R_1.jpg,1,0,0,0,0,0,0
None_20230418141845_3_L_1.jpg,1,0,0,0,0,0,0
None_20230424111401_0_L_1.jpg,1,0,0,0,0,0,0
None_20230404173019_3_R_1.jpg,1,0,0,0,0,0,0
None_20230413161541_4_R_1.jpg,1,0,0,0,0,0,0
None_20230503142456_3_L_1.jpg,1,0,0,0,0,0,0
None_20230417172119_1_R_1.jpg,1,0,0,0,0,0,0
None_20230420141306_3_R_1.jpg,1,0,0,0,0,0,0
None_20230425110030_1_L_1.jpg,1,0,0,0,0,0,0
None_20230403171723_1_R_1.jpg,1,0,0,0,0,0,0
None_20230418144448_1_L_1.jpg,1,0,0,0,0,0,0
None_20230417144245_0_L_1.jpg,1,0,0,0,0,0,0
None_20230503161947_2_L_1.jpg,1,0,0,0,0,0,0
None_20230424133538_3_L_1.jpg,1,0,0,0,0,0,0
None_20230413100748_0_R_1.jpg,1,0,0,0,0,0,0
None_20230405155924_3_R_1.jpg,1,0,0,0,0,0,0
None_20230504163426_2_L_1.jpg,1,0,0,0,0,0,0
None_20230418171013_0_R_1.jpg,1,0,0,0,0,0,0
None_20230406121844_3_R_1.jpg,1,0,0,0,0,0,0
None_20230425133012_1_L_1.jpg,1,0,0,0,0,0,0
None_20230404161615_4_R_1.jpg,1,0,0,0,0,0,0
None_20230405181759_2_R_1.jpg,1,0,0,0,0,0,0
None_20230411144356_1_R_1.jpg,1,0,0,0,0,0,0
None_20230420145202_1_L_1.jpg,1,0,0,0,0,0,0
None_20230419114841_3_R_1.jpg,1,0,0,0,0,0,0
None_20230420172301_4_R_1.jpg,1,0,0,0,0,0,0
None_20230417171003_0_L_1.jpg,1,0,0,0,0,0,0
None_20230420134021_4_L_1.jpg,1,0,0,0,0,0,0
None_20230405101011_4_R_1.jpg,1,0,0,0,0,0,0
None_20230421103141_4_L_1.jpg,1,0,0,0,0,0,0
None_20230424141811_1_R_1.jpg,1,0,0,0,0,0,0
None_20230407094038_4_L_1.jpg,1,0,0,0,0,0,0
None_20230425160752_2_L_1.jpg,1,0,0,0,0,0,0
None_20230419142026_4_R_1.jpg,1,0,0,0,0,0,0
None_20230424144112_0_L_1.jpg,1,0,0,0,0,0,0
None_20230424173216_2_L_1.jpg,1,0,0,0,0,0,0
None_20230404141925_1_R_1.jpg,1,0,0,0,0,0,0
None_20230417144230_1_L_1.jpg,1,0,0,0,0,0,0
None_20230410130948_3_L_1.jpg,1,0,0,0,0,0,0
None_20230424165807_1_L_1.jpg,1,0,0,0,0,0,0
None_20230503140943_1_L_1.jpg,1,0,0,0,0,0,0
None_20230404135958_2_L_1.jpg,1,0,0,0,0,0,0
None_20230420110510_3_L_1.jpg,1,0,0,0,0,0,0
None_20230414121706_3_L_1.jpg,1,0,0,0,0,0,0
None_20230504115117_4_L_1.jpg,1,0,0,0,0,0,0
None_20230417164710_1_R_1.jpg,1,0,0,0,0,0,0
None_20230403134008_4_R_1.jpg,1,0,0,0,0,0,0
None_20230418115655_1_R_1.jpg,1,0,0,0,0,0,0
None_20230404165411_0_L_1.jpg,1,0,0,0,0,0,0
None_20230420105826_2_L_1.jpg,1,0,0,0,0,0,0
None_20230417103736_4_R_1.jpg,1,0,0,0,0,0,0
None_20230504135230_3_L_1.jpg,1,0,0,0,0,0,0
None_20230414115204_3_R_1.jpg,1,0,0,0,0,0,0
None_20230417145239_1_R_1.jpg,1,0,0,0,0,0,0
None_20230404155510_1_R_1.jpg,1,0,0,0,0,0,0
None_20230412093602_4_L_1.jpg,1,0,0,0,0,0,0
None_20230418115911_0_R_1.jpg,1,0,0,0,0,0,0
None_20230424194543_2_L_1.jpg,1,0,0,0,0,0,0
None_20230403132711_2_L_1.jpg,1,0,0,0,0,0,0
None_20230404135742_0_R_1.jpg,1,0,0,0,0,0,0
None_20230504152019_3_R_1.jpg,1,0,0,0,0,0,0
None_20230504095238_2_R_1.jpg,1,0,0,0,0,0,0
None_20230424163056_0_R_1.jpg,1,0,0,0,0,0,0
None_20230313103721_4_R_1.jpg,1,0,0,0,0,0,0
None_20230428161734_0_R_1.jpg,1,0,0,0,0,0,0
None_20230417105202_4_L_1.jpg,1,0,0,0,0,0,0
None_20230425110153_3_L_1.jpg,1,0,0,0,0,0,0
None_20230313120757_4_R_1.jpg,1,0,0,0,0,0,0
None_20230424145318_0_R_1.jpg,1,0,0,0,0,0,0
None_20230424185527_3_R_1.jpg,1,0,0,0,0,0,0
None_20230403115219_3_L_1.jpg,1,0,0,0,0,0,0
None_20230419114236_4_R_1.jpg,1,0,0,0,0,0,0
None_20230403103806_1_R_1.jpg,1,0,0,0,0,0,0
None_20230404113535_0_L_1.jpg,1,0,0,0,0,0,0
None_20230420115724_1_R_1.jpg,1,0,0,0,0,0,0
None_20230425151008_4_R_1.jpg,1,0,0,0,0,0,0
None_20230404095447_0_L_1.jpg,1,0,0,0,0,0,0
None_20230419120604_4_R_1.jpg,1,0,0,0,0,0,0
None_20230403095432_2_R_1.jpg,1,0,0,0,0,0,0
None_20230417145239_3_R_1.jpg,1,0,0,0,0,0,0
None_20230417103407_4_R_1.jpg,1,0,0,0,0,0,0
None_20230417120231_3_L_1.jpg,1,0,0,0,0,0,0
None_20230508111946_3_R_1.jpg,1,0,0,0,0,0,0
None_20230407095852_1_L_1.jpg,1,0,0,0,0,0,0
None_20230404155540_4_L_1.jpg,1,0,0,0,0,0,0
None_20230413142241_2_R_1.jpg,1,0,0,0,0,0,0
None_20230424192800_2_R_1.jpg,1,0,0,0,0,0,0
None_20230424144409_4_R_1.jpg,1,0,0,0,0,0,0
None_20230424165930_3_R_1.jpg,1,0,0,0,0,0,0
None_20230412113739_4_R_1.jpg,1,0,0,0,0,0,0
None_20230424112919_1_R_1.jpg,1,0,0,0,0,0,0
None_20230404151500_0_L_1.jpg,1,0,0,0,0,0,0
None_20230504165654_2_R_1.jpg,1,0,0,0,0,0,0
None_20230411153644_0_R_1.jpg,1,0,0,0,0,0,0
None_20230418144648_2_L_1.jpg,1,0,0,0,0,0,0
None_20230508115340_1_L_1.jpg,1,0,0,0,0,0,0
None_20230406100431_4_L_1.jpg,1,0,0,0,0,0,0
None_20230410154541_4_R_1.jpg,1,0,0,0,0,0,0
